competition,season,teams,main_role,player_id,player_name,presences,matches_started,full_matches,minutes_played,substitutions_in,substitutions_out,yellow_cards,red_cards,shots_attempted,shots_on_target,goals,xg_total,xg_avg,headers,assists,key_passes,passes_attempted,passes_completed,progressive_passes,crosses,switches,avg_pass_angle,avg_pass_length,carries_attempted,carry_distance_total,progressive_carries,carries_to_penalty_area,dribbles_attempted,dribbles_completed,dribble_overruns,duels_attempted,duels_won,interceptions_attempted,interceptions_won,blocks,clearances,ball_recoveries,pressures,dispossessed,fouls_committed,fouls_won,own_goals,gk_goals_conceded,gk_shots_faced,gk_saves,gk_penalties_saved,gk_clean_sheet
Spain - La Liga,2015/2016,['Barcelona'],Left Wing,4320,Neymar,34,34,33,3188,0,1,6,0,123,56,24,20.47,5.61,4,12,82,1970,1532,174,71,64,29.91,548.32,2173,17188.89,322,299,273,169,17,54,3,13,6,29,3,134,392,98,55,159,0,0,0,0,0,0
Spain - La Liga,2015/2016,['Barcelona'],Center Forward,5246,Luis Suárez,35,35,35,3299,0,0,6,0,139,70,40,27.66,6.63,12,15,45,973,707,93,52,24,1.85,540.16,1020,4642.93,86,251,134,50,8,61,10,9,3,25,19,110,335,51,43,77,0,0,0,0,0,0
Spain - La Liga,2015/2016,['Celta Vigo'],Goalkeeper,79615,Néstor Díaz,1,0,0,15,1,0,0,0,0,0,0,0.0,0.0,0,0,0,2,2,1,0,0,0.46,46.95,1,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1
Spain - La Liga,2015/2016,['Celta Vigo'],Goalkeeper,6795,Rubén Blanco,8,8,6,718,0,1,1,1,0,0,0,0.0,0.0,0,0,0,228,131,167,0,5,-0.82,359.5,102,531.56,8,0,0,0,0,0,0,0,0,0,2,34,1,0,2,2,0,12,59,20,0,3
Spain - La Liga,2015/2016,['Celta Vigo'],Goalkeeper,6884,Sergio Álvarez,31,30,30,2880,1,0,1,0,0,0,0,0.0,0.0,0,0,0,1001,584,759,0,22,-4.03,1423.74,479,1906.09,30,0,0,0,0,0,0,0,0,0,0,137,3,0,0,1,0,47,240,90,1,8
Spain - La Liga,2015/2016,['Celta Vigo'],Right Back,6805,Hugo Mallo,34,33,31,3098,1,2,9,0,9,4,1,0.46,0.4,2,4,10,1768,1394,500,44,32,-33.65,714.99,1142,5734.35,109,26,22,14,1,144,20,78,30,67,116,121,532,18,60,19,0,0,0,0,0,0
Spain - La Liga,2015/2016,['Celta Vigo'],Right Center Back,75537,David Goldar,1,1,1,94,0,0,1,0,1,0,0,0.02,0.02,1,0,0,30,12,20,0,0,-0.09,35.16,16,98.48,1,0,0,0,0,3,0,1,0,3,4,3,12,0,3,2,0,0,0,0,0,0
Spain - La Liga,2015/2016,['Celta Vigo'],Right Center Back,6794,Gustavo Cabral,31,31,28,2819,0,1,10,2,6,2,0,0.34,0.31,3,0,3,1798,1590,423,2,44,-8.21,720.39,1319,6827.34,98,1,12,10,1,145,27,79,26,53,151,162,371,9,40,23,0,0,0,0,0,0
Spain - La Liga,2015/2016,['Celta Vigo'],Left Center Back,6890,Andreu Fontàs,7,6,5,577,1,1,1,0,2,1,1,0.32,0.32,0,0,3,468,418,142,0,7,2.17,157.76,375,2330.7,58,0,0,0,0,23,5,17,6,10,30,30,71,3,2,2,0,0,0,0,0,0
Spain - La Liga,2015/2016,['Celta Vigo'],Left Center Back,6804,Sergi Gómez,31,29,29,2770,2,0,6,0,2,0,0,0.12,0.12,1,1,3,1542,1320,382,0,29,5.96,729.8,1136,4480.05,35,0,5,4,0,118,14,83,25,55,144,124,340,7,33,9,0,0,0,0,0,0
Spain - La Liga,2015/2016,['Celta Vigo'],Left Back,7577,Carles Planas,24,18,15,1781,6,3,4,0,3,1,0,0.15,0.15,0,2,6,1157,895,318,28,19,22.28,483.06,728,3672.25,65,10,8,5,1,108,10,45,15,43,69,51,348,12,20,10,0,0,0,0,0,0
Spain - La Liga,2015/2016,['Celta Vigo'],Left Back,6802,Jonny Castro,36,34,28,3116,2,4,9,2,14,3,1,0.84,0.49,2,4,18,1895,1547,445,29,26,7.8,697.09,1262,6812.15,132,32,43,22,4,133,17,93,46,81,74,147,560,33,49,27,1,0,0,0,0,0
Spain - La Liga,2015/2016,['Celta Vigo'],Right Defensive Midfield,13552,Borja Fernández,4,1,1,151,3,0,0,0,0,0,0,0.0,0.0,0,0,1,62,46,13,0,2,0.31,78.58,40,236.66,3,0,2,1,0,5,1,2,2,4,3,12,26,2,3,0,0,0,0,0,0,0
Spain - La Liga,2015/2016,['Celta Vigo'],Left Defensive Midfield,27341,Marcelo Díaz,14,10,8,1042,4,2,3,0,12,1,0,0.39,0.2,0,1,3,758,676,178,3,29,-1.36,293.45,594,2602.84,31,2,7,4,1,28,2,19,5,18,14,74,188,10,13,14,0,0,0,0,0,0
Spain - La Liga,2015/2016,['Celta Vigo'],Left Defensive Midfield,6796,Nemanja Radoja,30,15,8,1567,15,7,5,0,6,1,0,0.3,0.27,0,0,3,813,670,152,2,15,2.97,571.6,637,3749.89,48,6,29,18,1,100,26,39,11,37,40,102,353,15,33,14,0,0,0,0,0,0
Spain - La Liga,2015/2016,['Celta Vigo'],Right Center Midfield,6797,Daniel Wass,36,31,16,2813,5,15,3,0,49,13,2,4.25,1.95,1,5,34,1665,1300,371,32,55,-11.57,745.57,1262,6664.17,122,27,34,22,1,106,15,41,14,43,44,129,391,30,35,47,0,0,0,0,0,0
Spain - La Liga,2015/2016,['Celta Vigo'],Left Center Midfield,6801,Pablo Hernández,33,28,14,2413,5,13,15,1,27,5,2,1.8,1.35,10,3,10,1495,1191,318,8,42,1.39,667.01,1213,7231.56,102,18,48,33,6,199,26,47,27,56,56,160,536,45,85,118,1,0,0,0,0,0
Spain - La Liga,2015/2016,['Celta Vigo'],Right Wing,6600,Claudio Beauvue,10,6,3,538,4,3,1,0,11,4,1,1.08,0.56,4,0,5,134,85,17,11,5,-6.75,160.8,125,807.97,19,8,17,10,1,45,1,3,1,11,7,22,86,7,13,7,0,0,0,0,0,0
Spain - La Liga,2015/2016,['Celta Vigo'],Right Wing,27340,Dejan Dražić,6,1,0,123,5,1,1,0,1,0,0,0.08,0.08,0,0,0,25,20,3,0,0,6.33,83.01,26,81.79,0,0,6,3,0,3,0,0,0,2,1,6,18,4,2,1,0,0,0,0,0,0
Spain - La Liga,2015/2016,['Celta Vigo'],Right Wing,34728,Diego Alende,1,0,0,44,1,0,0,0,0,0,0,0.0,0.0,0,0,0,6,6,1,0,0,-0.25,18.53,4,3.02,0,0,0,0,0,1,0,0,0,3,4,0,5,0,0,0,0,0,0,0,0,0
Spain - La Liga,2015/2016,['Celta Vigo'],Right Wing,7105,Fabián Orellana,33,33,23,3047,0,9,10,1,77,24,7,8.81,3.36,4,7,45,1651,1230,287,69,64,-7.95,624.2,1802,11354.36,199,128,209,109,20,106,12,39,30,39,43,210,374,112,32,100,0,0,0,0,0,0
Spain - La Liga,2015/2016,['Celta Vigo'],Right Wing,27342,Josep Señé,9,4,2,422,5,2,1,0,2,1,0,0.15,0.15,0,1,1,112,81,20,1,2,0.32,160.22,130,798.21,15,4,14,8,2,13,1,2,0,11,1,20,68,19,8,17,0,0,0,0,0,0
Spain - La Liga,2015/2016,['Celta Vigo'],Right Wing,27052,Levy Madinda,1,0,0,4,1,0,0,0,0,0,0,0.0,0.0,0,0,0,2,2,0,0,0,1.03,12.87,2,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Spain - La Liga,2015/2016,['Celta Vigo'],Right Wing,4558,Pape Diop,4,0,0,72,4,0,0,0,0,0,0,0.0,0.0,0,0,0,24,22,1,0,0,-0.07,45.73,24,155.69,2,0,2,2,0,6,0,0,0,1,0,5,10,2,2,4,0,0,0,0,0,0
Spain - La Liga,2015/2016,['Celta Vigo'],Left Wing,6724,Nolito,29,27,22,2604,2,5,9,0,81,32,12,8.76,2.98,4,7,54,1283,821,279,65,80,27.6,603.5,1213,7705.32,147,130,163,76,9,97,19,29,15,44,10,160,384,70,46,77,0,0,0,0,0,0
Spain - La Liga,2015/2016,['Celta Vigo'],Left Wing,23785,Théo Bongonda Mbul'Ofeko Batombo,22,14,4,1254,8,10,5,0,19,5,2,2.34,1.33,1,1,10,335,243,38,17,7,8.34,338.17,402,3948.78,111,31,56,21,6,38,7,8,4,21,9,57,142,24,23,36,0,0,0,0,0,0
Spain - La Liga,2015/2016,['Celta Vigo'],Center Forward,5217,Iago Aspas,35,31,14,2766,4,17,8,0,82,33,14,13.15,5.39,6,5,41,976,744,95,39,25,-15.36,563.48,893,5663.66,109,128,66,34,2,126,10,19,8,33,8,105,442,46,43,49,0,0,0,0,0,0
Spain - La Liga,2015/2016,['Celta Vigo'],Center Forward,6038,John Guidetti,35,12,2,1377,23,10,3,0,33,18,7,6.19,3.54,2,0,16,316,229,30,8,3,-1.89,415.64,292,1331.46,20,47,27,16,3,85,5,6,4,17,3,47,263,22,32,31,0,0,0,0,0,0
Spain - La Liga,2015/2016,['Eibar'],Goalkeeper,10763,Asier Riesgo,34,34,34,3217,0,0,1,0,0,0,0,0.0,0.0,0,0,1,1066,506,998,0,28,0.54,1945.65,444,3099.62,63,1,0,0,0,0,0,0,0,0,6,211,3,0,1,10,0,54,220,81,1,7
Spain - La Liga,2015/2016,['Eibar'],Goalkeeper,27462,Xabi Irureta,4,4,4,379,0,0,0,0,0,0,0,0.0,0.0,0,0,0,112,53,101,0,4,-0.51,234.06,47,327.37,5,0,0,0,0,0,0,0,0,0,0,22,2,0,0,0,0,7,18,13,0,0
Spain - La Liga,2015/2016,['Eibar'],Right Back,6699,Ander Capa,36,34,33,3282,2,1,12,0,16,5,2,0.71,0.66,0,4,16,1818,1137,693,77,47,-28.18,777.8,1068,8402.28,203,15,59,34,1,131,22,107,45,63,89,205,466,26,59,32,0,0,0,0,0,0
Spain - La Liga,2015/2016,['Eibar'],Right Back,26736,Borja Ekiza,4,2,0,201,2,2,1,0,0,0,0,0.0,0.0,0,0,0,98,52,38,3,1,-2.16,92.88,52,258.06,4,0,1,1,0,6,0,2,0,8,5,13,21,1,7,1,0,0,0,0,0,0
Spain - La Liga,2015/2016,['Eibar'],Right Center Back,6837,Mauro dos Santos,31,30,29,2826,1,1,7,0,11,5,0,0.7,0.7,5,1,2,981,658,415,5,43,-12.4,851.67,531,3329.69,51,2,11,5,1,108,16,57,15,41,163,117,275,5,36,17,1,0,0,0,0,0
