competition,season,teams,main_role,player_id,player_name,presences,matches_started,full_matches,minutes_played,substitutions_in,substitutions_out,yellow_cards,red_cards,shots_attempted,shots_on_target,goals,xg_total,xg_avg,headers,assists,key_passes,passes_attempted,passes_completed,progressive_passes,crosses,switches,avg_pass_angle,avg_pass_length,carries_attempted,carry_distance_total,progressive_carries,carries_to_penalty_area,dribbles_attempted,dribbles_completed,dribble_overruns,duels_attempted,duels_won,interceptions_attempted,interceptions_won,blocks,clearances,ball_recoveries,pressures,dispossessed,fouls_committed,fouls_won,own_goals,gk_goals_conceded,gk_shots_faced,gk_saves,gk_penalties_saved,gk_clean_sheet
Italy - Serie A,2015/2016,['AS Roma'],Right Wing,390310,Lorenzo Di Livio,1,0,0,27,1,0,1,0,0,0,0,0.0,0.0,0,0,0,8,8,0,0,0,-1.02,13.18,5,10.44,0,0,0,0,0,0,0,0,0,0,0,0,7,1,2,0,0,0,0,0,0,0
Italy - Serie A,2015/2016,['AS Roma'],Right Wing,3531,Mohamed Salah,34,32,13,2825,2,18,2,1,73,29,14,8.5,3.21,5,6,53,1196,960,71,45,14,-22.14,471.04,1211,8620.24,183,127,99,47,8,66,5,15,12,22,4,146,453,85,26,47,0,0,0,0,0,0
Italy - Serie A,2015/2016,['AS Roma'],Center Attacking Midfield,20637,Salih Uçan,3,0,0,58,3,0,0,0,1,0,0,0.11,0.11,0,1,0,23,20,2,1,2,1.74,55.44,18,142.08,2,3,1,1,0,7,0,2,2,2,1,4,20,0,3,1,0,0,0,0,0,0
Italy - Serie A,2015/2016,['AS Roma'],Left Wing,15818,Gervinho,14,13,7,1130,1,6,0,0,27,7,6,4.45,2.41,2,1,12,330,271,14,13,2,-1.32,200.49,387,3565.98,80,59,47,28,3,20,1,6,2,13,1,46,137,18,4,6,0,0,0,0,0,0
Italy - Serie A,2015/2016,['AS Roma'],Left Wing,7468,Iago Falqué,22,13,3,1234,9,10,1,0,16,8,2,1.39,0.85,3,2,17,603,487,81,36,21,5.64,439.1,507,2730.17,45,19,15,9,1,45,4,7,2,17,6,48,250,26,7,10,0,0,0,0,0,0
Italy - Serie A,2015/2016,['AS Roma'],Left Wing,27949,Juan Iturbe,12,3,0,460,9,3,1,0,9,2,1,0.63,0.36,2,0,6,99,68,13,2,3,1.22,222.28,129,1313.99,24,10,16,8,1,21,3,4,2,13,2,21,65,13,8,17,0,0,0,0,0,0
Italy - Serie A,2015/2016,['AS Roma'],Left Wing,6979,Stephan El Shaarawy,16,15,3,1228,1,12,0,0,46,21,8,6.16,1.89,2,2,11,536,426,54,13,5,14.52,235.11,530,3625.8,83,51,31,14,2,41,5,6,4,17,16,61,233,26,9,11,0,0,0,0,0,0
Italy - Serie A,2015/2016,['AS Roma'],Center Forward,6973,Edin Džeko,31,21,15,2107,10,5,4,1,88,31,8,13.45,3.79,29,4,15,598,384,74,14,15,9.8,497.96,554,3238.39,50,67,41,21,3,137,2,2,1,31,20,63,305,49,42,53,0,0,0,0,0,0
Italy - Serie A,2015/2016,['AS Roma'],Center Forward,15780,Francesco Totti,13,2,0,442,11,3,3,0,22,10,5,3.31,1.3,0,3,10,307,229,61,8,22,3.74,279.7,245,1220.93,15,10,8,4,0,19,3,0,0,5,1,27,51,12,6,13,0,0,0,0,0,0
Italy - Serie A,2015/2016,['AS Roma'],Center Forward,8424,Marco Tumminello,1,0,0,5,1,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0
Italy - Serie A,2015/2016,['AS Roma'],Center Forward,11128,Umar Sadiq,6,2,0,218,4,2,0,0,4,3,2,1.32,0.82,1,0,1,46,31,6,1,0,-1.47,85.16,50,384.94,9,5,3,2,0,21,0,1,0,5,3,9,53,3,8,8,0,0,0,0,0,0
Italy - Serie A,2015/2016,['AS Roma'],Center Forward,40453,Víctor Ibarbo,2,0,0,15,2,0,0,0,0,0,0,0.0,0.0,0,0,0,3,1,1,0,0,-1.63,41.36,3,7.48,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0
Italy - Serie A,2015/2016,['Atalanta'],Goalkeeper,36927,Boris Radunović,1,1,1,95,0,0,0,0,0,0,0,0.0,0.0,0,0,0,32,20,23,0,0,-0.04,41.6,11,26.47,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,9,1,0,0
Italy - Serie A,2015/2016,['Atalanta'],Goalkeeper,41067,Davide Bassi,1,1,1,94,0,0,0,0,0,0,0,0.0,0.0,0,0,0,37,18,30,0,2,-0.2,46.22,9,55.86,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,8,3,0,0
Italy - Serie A,2015/2016,['Atalanta'],Goalkeeper,7157,Marco Sportiello,36,36,36,3463,0,0,2,0,0,0,0,0.0,0.0,0,0,2,1084,616,889,0,22,-3.32,1757.93,384,1975.81,40,0,1,1,0,0,0,0,0,0,0,184,7,1,1,4,0,43,300,111,3,11
Italy - Serie A,2015/2016,['Atalanta'],Right Back,8657,Andrea Conti,14,10,4,860,4,5,2,1,5,2,2,1.84,1.84,0,1,3,431,325,105,10,6,-11.2,248.95,292,1661.07,32,9,13,6,3,44,2,25,12,19,29,60,144,14,13,18,0,0,0,0,0,0
Italy - Serie A,2015/2016,['Atalanta'],Right Back,6992,Andrea Masiello,29,27,23,2547,2,4,7,0,4,1,0,0.13,0.13,1,1,10,1281,970,465,42,55,-15.84,707.24,763,3695.71,60,4,5,4,0,64,14,47,12,59,116,117,305,5,29,19,0,0,0,0,0,0
